Category,Question,Answer
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,ماهي العيادات / التخصصات المتاحة لديكم؟ ?What clinics/specialties do you have available,"قسم الطوارئ (Emergency Department)
عيادة الباطنة (Internal Medicine Clinic)
عيادة القلب والأوعية الدموية (Cardiology & Vascular Clinic)
عيادة الجهاز الهضمي والمناظير (Gastroenterology & Endoscopy Clinic)
عيادة العظام والمفاصل (Orthopedics & Joints Clinic)
عيادة النساء والتوليد (Obstetrics & Gynecology Clinic)
عيادة الأطفال وحديثي الولادة (Pediatrics & Neonatology Clinic)
عيادة المسالك البولية (Urology Clinic)
عيادة الجلدية والتجميل والليزر (Dermatology, Aesthetics & Laser Clinic)
عيادة الأنف والأذن والحنجرة (ENT Clinic)
عيادة الطب النفسي (Psychiatry Clinic)
عيادة المخ والأعصاب (Neurology Clinic)
قسم الأشعة (Radiology Department)
قسم التحاليل الطبية (Medical Laboratories)
وحدات العناية المركزة (Intensive Care Units - ICUs)"
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن قسم الطوارئ Give me information about the emergency department,"قسم الطوارئ لدينا يعمل على مدار الساعة طوال أيام الأسبوع، ومجهز بالكامل لاستقبال جميع الحالات الطارئة وتقديم الرعاية الأولية الفورية. 
 . Our Emergency Department operates 24/7, fully equipped to receive all emergency cases and provide immediate primary care
 "
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة الباطنة. Give me information about the internal medicine clinic,"عيادة الباطنة (Internal Medicine Clinic) عيادة الباطنة لدينا متخصصة في التشخيص الدقيق والعلاج المتقدم للأمراض غير الجراحية المعقدة والمزمنة لدى البالغين. يركز أطباؤنا على توفير رعاية صحية شاملة تشمل إدارة حالات مثل السكري، ارتفاع ضغط الدم، أمراض الجهاز الهضمي، اضطرابات الغدد الصماء، أمراض الكلى غير الجراحية، وأمراض الدم. نهدف إلى التحكم الفعال في الأمراض المزمنة وتعزيز الصحة الوقائية، باستخدام أحدث البروتوكولات العلاجية. 
 Our Internal Medicine Clinic specializes in the accurate diagnosis and advanced treatment of complex and chronic non-surgical diseases in adults. Our physicians focus on providing comprehensive healthcare, including managing conditions such as diabetes, hypertension, advanced gastrointestinal disorders, endocrine imbalances, non-surgical kidney diseases, and blood disorders. We aim for effective chronic disease management and preventive health promotion, utilizing the latest treatment protocols"
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة القلب والأوعية الدموية Give me information about the Cardiology & Vascular Clinic.," عيادة القلب والأوعية الدموية (Cardiology & Vascular Clinic) تُعنى عيادة القلب والأوعية الدموية بالصحة الكاملة لقلبك وشرايينك. نقدم خدمات تشخيصية وعلاجية متكاملة لأمراض مثل: قصور الشريان التاجي، الذبحة الصدرية، اضطرابات نظم القلب (عدم انتظام ضربات القلب)، ارتفاع ضغط الدم الشرياني، أمراض صمامات القلب، وفشل القلب. نستخدم أحدث التقنيات مثل: تخطيط القلب الكهربائي (ECG)، إيكو القلب (Echocardiography) ثلاثي ورباعي الأبعاد، اختبارات الإجهاد (Stress Tests)، ومراقبة هولتر للقلب. كما نقدم استشارات حول الوقاية من أمراض القلب وتعديل عوامل الخطر، بالإضافة إلى متابعة ما بعد القسطرة وجراحات القلب.
 Our Cardiology & Vascular Clinic is dedicated to the complete health of your heart and arteries. We offer comprehensive diagnostic and treatment services for conditions such as: coronary artery disease, angina, cardiac arrhythmias, arterial hypertension, heart valve diseases, and heart failure. We utilize the latest technologies including: Electrocardiogram (ECG), 3D/4D Echocardiography, Stress Tests, and Holter monitoring. We also provide consultations on heart disease prevention and risk factor modification, in addition to post-catheterization and cardiac surgery follow-up."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة الجهاز الهضمي والمناظير Give me information about the Gastroenterology & Endoscopy Clinic,"عيادة الجهاز الهضمي والمناظير (Gastroenterology & Endoscopy Clinic) تتخصص هذه العيادة في تشخيص وعلاج جميع أمراض الجهاز الهضمي، الكبد، والبنكرياس. تشمل الحالات التي نتعامل معها: قرحة المعدة والاثني عشر، ارتجاع المريء، القولون العصبي، التهابات القولون، حصوات المرارة، أمراض الكبد (مثل التهاب الكبد الفيروسي وتليف الكبد)، والتهاب البنكرياس. نتميز بتوفر أحدث أجهزة المناظير التشخيصية والعلاجية (منظار علوي وسفلي)، والتي تمكننا من الكشف المبكر عن الأورام، إزالة الزوائد اللحمية، ووقف النزيف الهضمي بدقة عالية. 
 This clinic specializes in the diagnosis and treatment of all diseases of the digestive system, liver, and pancreas. Conditions we manage include: stomach and duodenal ulcers, GERD, irritable bowel syndrome, colitis, gallstones, liver diseases (e.g., viral hepatitis and cirrhosis), and pancreatitis. We are distinguished by the availability of the latest diagnostic and therapeutic endoscopy equipment (upper and lower endoscopy), which enables us to detect tumors early, remove polyps, and stop gastrointestinal bleeding with high precision."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة العظام والمفاصل Give me information about the Orthopedics & Joints Clinic,"عيادة العظام والمفاصل (Orthopedics & Joints Clinic) تقدم عيادة العظام والمفاصل رعاية متكاملة لمجموعة واسعة من الحالات المتعلقة بالجهاز العضلي الهيكلي. تشمل خدماتنا: تشخيص وعلاج كسور العظام، إصابات المفاصل والأربطة (مثل إصابات الرباط الصليبي)، خشونة المفاصل (خاصة الركبة والفخذ)، آلام الظهر والرقبة، الانزلاق الغضروفي، تشوهات العظام، وأورام العظام. نوفر أحدث التقنيات الجراحية مثل جراحات استبدال المفاصل (الركبة والفخذ)، جراحات العمود الفقري، والمناظير المفصلية. كما نقدم برامج متكاملة للعلاج الطبيعي والتأهيل بعد العمليات الجراحية لضمان استعادة كاملة للوظيفة والحركة.  
 The Orthopedics & Joints Clinic provides comprehensive care for a wide range of musculoskeletal conditions. Our services include: diagnosis and treatment of bone fractures, joint and ligament injuries (e.g., ACL injuries), joint osteoarthritis (especially knee and hip), back and neck pain, disc herniation, bone deformities, and bone tumors. We offer the latest surgical techniques such as joint replacement surgeries (knee and hip), spinal surgeries, and arthroscopy. We also provide integrated physical therapy and rehabilitation programs post-surgery to ensure full restoration of function and mobility."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة النساء والتوليد Give me information about the Obstetrics & Gynecology Clinic,"عيادة النساء والتوليد (Obstetrics & Gynecology Clinic) تُعنى عيادة النساء والتوليد بتقديم رعاية صحية شاملة ومتكاملة للمرأة في جميع مراحل حياتها. تشمل خدماتنا: متابعة الحمل الدورية (منذ بدايته وحتى الولادة)، الولادة الطبيعية والقيصرية بأعلى معايير الأمان، رعاية ما بعد الولادة، تشخيص وعلاج أمراض النساء المختلفة (مثل تكيس المبايض، الأورام الليفية، التهابات الجهاز التناسلي، واضطرابات الدورة الشهرية)، الكشف المبكر عن سرطان عنق الرحم والثدي، واستشارات تنظيم الأسرة والعقم. نستخدم أجهزة سونار متطورة (ثلاثية ورباعية الأبعاد) لمتابعة نمو الجنين وصحة الأم. 
 The Obstetrics & Gynecology Clinic is dedicated to providing comprehensive and integrated healthcare for women at all stages of their lives. Our services include: regular pregnancy follow-up (from conception to delivery), natural and C-section deliveries with the highest safety standards, postpartum care, diagnosis and treatment of various gynecological conditions (e.g., PCOS, fibroids, reproductive tract infections, and menstrual disorders), early detection of cervical and breast cancer, and family planning and infertility consultations. We utilize advanced ultrasound devices (3D and 4D) to monitor fetal growth and maternal health"
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة الأطفال وحديثي الولادة Give me information about the Pediatrics & Neonatology Clinic,"عيادة الأطفال وحديثي الولادة (Pediatrics & Neonatology Clinic) تقدم عيادة الأطفال وحديثي الولادة رعاية صحية متخصصة ومتكاملة لفلذات أكبادنا، منذ لحظة الولادة وحتى سن المراهقة. تشمل خدماتنا: متابعة النمو والتطور الطبيعي للأطفال، برنامج التطعيمات الروتينية، تشخيص وعلاج الأمراض الشائعة (مثل نزلات البرد، الإنفلونزا، التهابات الجهاز التنفسي والهضمي)، إدارة حالات الربو والحساسية، واضطرابات التغذية. كما نضم وحدة عناية مركزة لحديثي الولادة (NICU) مجهزة بأحدث الأجهزة وفريق متخصص لتقديم الرعاية الفائقة للأطفال المبتسرين أو الذين يعانون من مشاكل صحية عند الولادة، لضمان أفضل بداية لحياة صحية. 
 The Pediatrics & Neonatology Clinic provides specialized and comprehensive healthcare for our beloved children, from birth through adolescence. Our services include: monitoring normal growth and development, routine vaccination programs, diagnosis and treatment of common illnesses (e.g., colds, flu, respiratory and digestive infections), management of asthma and allergies, and nutritional disorders. We also feature a Neonatal Intensive Care Unit (NICU) equipped with the latest devices and a specialized team to provide advanced care for premature infants or those with health issues at birth, ensuring the best start for a healthy life"
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة المسالك البولية Give me information about the Urology Clinic,"عيادة المسالك البولية (Urology Clinic)  تتخصص عيادة المسالك البولية في تشخيص وعلاج أمراض الجهاز البولي والتناسلي للرجال والنساء. تشمل الحالات التي نتعامل معها: حصوات الكلى والحالب والمثانة (مع توفر تقنيات تفتيت الحصوات بالليزر)، التهابات المسالك البولية المتكررة، تضخم البروستاتا الحميد، أورام الجهاز البولي (الكلى، المثانة، البروستاتا)، سلس البول، والعقم عند الرجال. يقدم أطباؤنا حلولاً علاجية جراحية وغير جراحية، بما في ذلك الجراحات بالمنظار لضمان تعافٍ أسرع وأقل ألماً. 
 The Urology Clinic specializes in the diagnosis and treatment of diseases of the urinary and reproductive systems in men and women. Conditions we manage include: kidney, ureteral, and bladder stones (with laser lithotripsy available), recurrent urinary tract infections, benign prostatic hyperplasia, urinary tract tumors (kidney, bladder, prostate), urinary incontinence, and male infertility. Our physicians offer both surgical and non-surgical treatment solutions, including laparoscopic surgeries for faster recovery and less pain."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,"اعطني معلومات عن عيادة الجلدية والتجميل والليزر Give me information about the Dermatology, Aesthetics & Laser Clinic","عيادة الجلدية والتجميل والليزر (Dermatology, Aesthetics & Laser Clinic) تقدم عيادة الجلدية والتجميل والليزر رعاية متكاملة لصحة وجمال بشرتك وشعرك وأظافرك. تشمل خدماتنا الطبية: تشخيص وعلاج الأمراض الجلدية المزمنة والحادة (مثل حب الشباب، الإكزيما، الصدفية، الأمراض الفطرية)، تساقط الشعر، والتهابات الجلد. بالإضافة إلى ذلك، نوفر مجموعة واسعة من الإجراءات التجميلية المتقدمة باستخدام أحدث التقنيات: حقن البوتوكس والفيلر لعلاج التجاعيد وتحسين ملامح الوجه، جلسات الليزر لإزالة الشعر وتجديد البشرة وعلاج التصبغات وآثار حب الشباب، وتقشير البشرة الكيميائي والكريستالي. نهدف إلى تحقيق أفضل النتائج الجمالية مع الحفاظ على صحة البشرة. 
 The Dermatology, Aesthetics & Laser Clinic provides comprehensive care for the health and beauty of your skin, hair, and nails. Our medical services include: diagnosis and treatment of chronic and acute skin diseases (e.g., acne, eczema, psoriasis, fungal infections), hair loss, and skin infections. In addition, we offer a wide range of advanced aesthetic procedures using the latest technologies: Botox and filler injections for wrinkle treatment and facial contouring, laser sessions for hair removal, skin rejuvenation, treating pigmentation and acne scars, and chemical and crystal peels. We aim to achieve the best aesthetic results while maintaining skin health."
